股票名稱,代碼,產業
台積電,2330,半導體類
聯發科,2454,半導體類
鴻海,2317,其他電子類
台達電,2308,電子零組件類
聯電,2303,半導體類
廣達,2382,電腦及週邊設備類
富邦金,2881,金融保險類
中信金,2891,金融保險類
中華電,2412,通信網路類
兆豐金,2886,金融保險類
日月光投控,3711,半導體類
國泰金,2882,金融保險類
南亞,1303,塑膠類
玉山金,2884,金融保險類
統一,1216,食品類
中鋼,2002,鋼鐵類
元大金,2885,金融保險類
台塑,1301,塑膠類
第一金,2892,金融保險類
聯詠,3034,半導體類
合庫金,5880,金融保險類
智邦,2345,通信網路類
華碩,2357,電腦及週邊設備類
中租-KY,5871,其他類
緯創,3231,電腦及週邊設備類
大立光,3008,光電類
國巨,2327,電子零組件類
光寶科,2301,電腦及週邊設備類
和泰車,2207,汽車類
欣興,3037,電子零組件類
華南金,2880,金融保險類
台化,1326,塑膠類
台泥,1101,水泥類
台新金,2887,金融保險類
永豐金,2890,金融保險類
瑞昱,2379,半導體類
開發金,2883,金融保險類
亞德客-KY,1590,電機機械類
台灣大,3045,通信網路類
和碩,4938,電腦及週邊設備類
上海商銀,5876,金融保險類
研華,2395,電腦及週邊設備類
統一超,2912,貿易百貨類
緯穎,6669,電腦及週邊設備類
遠傳,4904,通信網路類
彰銀,2801,金融保險類
台塑化,6505,油電燃氣類
長榮,2603,航運類
豐泰,9910,其他類
南亞科,2408,半導體類
